A1,A2,A3,A4,div,phase,kd,pn
 CT , CT ,N  ,C    ,9,0.0,0.00000,4
 CT , CT ,N  ,C    ,9,0.0,1.67360,3
 CT , CT ,N  ,C    ,9,0.0,8.36800,2
 CT , CT ,N  ,C    ,9,0.0,8.36800,1
 CT , CT ,CT ,CT   ,9,0.0,0.75312,3
 CT , CT ,CT ,CT   ,9,180.0,1.04600,2
 CT , CT ,CT ,CT   ,9,180.0,0.83680,1
 CT , CT ,C  ,N    ,9,0.0,0.00000,4
 CT , CT ,C  ,N    ,9,0.0,1.67360,3
 CT , CT ,C  ,N    ,9,0.0,0.83680,2
 CT , CT ,C  ,N    ,9,0.0,0.83680,1
 CT , CT ,CI ,OS   ,9,348.1,4.02848,3
 CT , CT ,CI ,OS   ,9,295.6,0.38535,2
 CT , CT ,CI ,OS   ,9,191.0,4.92892,1
 CT , CT ,CI ,OH   ,9,348.1,4.02848,3
 CT , CT ,CI ,OH   ,9,295.6,0.38535,2
 CT , CT ,CI ,OH   ,9,191.0,4.92892,1
 CT , CS ,CS ,CT   ,9,180.0,27.82360,2
 CT , CS ,CS ,CT   ,9,180.0,7.94960,1
 CT , C  ,N  ,EP   ,9,180.0,0.00000,2
 CT , CM ,CM ,CT   ,9,180.0,27.82360,2
 CT , CM ,CM ,CT   ,9,180.0,7.94960,1
 CS , CS ,OS ,EP   ,9,180.0,0.00000,2
 CS , CS ,C  ,O    ,9,0.0,1.25520,3
 CS , CS ,C  ,O    ,9,180.0,9.10020,2
 CR , NA ,P  ,OP   ,9,0.0,0.00000,3
 C  , N  ,CX ,C    ,9,0.0,0.00000,4
 C  , N  ,CX ,C    ,9,0.0,1.75728,3
 C  , N  ,CX ,C    ,9,0.0,1.12968,2
 C  , N  ,CX ,C    ,9,0.0,0.00000,1
 CM , CM ,OS ,EP   ,9,180.0,0.00000,2
 CM , CM ,C  ,O    ,9,0.0,1.25520,3
 CM , CM ,C  ,O    ,9,180.0,9.10020,2
 Cl , CT ,CT ,Cl   ,9,0.0,0.00000,3
 Cl , CT ,CT ,Cl   ,9,180.0,1.88280,1
 CI , CT ,CT ,CT   ,9,0.0,0.75312,3
 CI , CT ,CT ,CT   ,9,180.0,1.04600,2
 CI , CT ,CT ,CT   ,9,180.0,0.83680,1
 C  , CX ,CT ,CC   ,9,0.0,0.10460,4
 C  , CX ,CT ,CC   ,9,0.0,0.91630,3
 C  , CX ,CT ,CC   ,9,180.0,1.02090,2
 C  , CX ,CT ,CC   ,9,180.0,0.59831,1
 C  , CX ,CT ,CA   ,9,180.0,0.05021,4
 C  , CX ,CT ,CA   ,9,0.0,0.80333,3
 C  , CX ,CT ,CA   ,9,180.0,1.96230,2
 C  , CX ,CT ,CA   ,9,0.0,0.23012,1
 C  , CX ,CT ,C*   ,9,0.0,0.30962,4
 C  , CX ,CT ,C*   ,9,0.0,0.97906,3
 C  , CX ,CT ,C*   ,9,180.0,1.47695,2
 C  , CX ,CT ,C*   ,9,180.0,0.07113,1
 C  , CX ,C8 ,C8   ,9,0.0,0.65084,3
 C  , CX ,3C ,OH   ,9,0.0,0.65270,4
 C  , CX ,3C ,OH   ,9,0.0,1.31796,3
 C  , CX ,3C ,OH   ,9,180.0,0.49790,2
 C  , CX ,3C ,OH   ,9,180.0,2.91625,1
 C  , CX ,3C ,CT   ,9,0.0,0.46861,4
 C  , CX ,3C ,CT   ,9,0.0,0.61923,3
 C  , CX ,3C ,CT   ,9,180.0,1.20918,2
 C  , CX ,3C ,CT   ,9,180.0,1.69870,1
 C  , CX ,3C ,2C   ,9,0.0,0.48116,4
 C  , CX ,3C ,2C   ,9,0.0,0.47279,3
 C  , CX ,3C ,2C   ,9,180.0,3.07524,2
 C  , CX ,3C ,2C   ,9,0.0,0.67781,1
 C  , CX ,2C ,SH   ,9,0.0,0.31380,4
 C  , CX ,2C ,SH   ,9,0.0,1.05018,3
 C  , CX ,2C ,SH   ,9,180.0,1.41001,2
 C  , CX ,2C ,SH   ,9,180.0,1.12550,1
 C  , CX ,2C ,S    ,9,0.0,1.16315,4
 C  , CX ,2C ,S    ,9,0.0,1.35143,3
 C  , CX ,2C ,S    ,9,180.0,1.64850,2
 C  , CX ,2C ,S    ,9,0.0,2.51877,1
 C  , CX ,2C ,OH   ,9,0.0,0.53974,4
 C  , CX ,2C ,OH   ,9,0.0,1.67778,3
 C  , CX ,2C ,OH   ,9,180.0,0.91211,2
 C  , CX ,2C ,OH   ,9,180.0,2.76562,1
 C  , CX ,2C ,CO   ,9,0.0,0.64434,4
 C  , CX ,2C ,CO   ,9,0.0,0.24267,3
 C  , CX ,2C ,CO   ,9,180.0,1.92046,2
 C  , CX ,2C ,CO   ,9,0.0,1.77402,1
 C  , CX ,2C ,C    ,9,0.0,0.44769,4
 C  , CX ,2C ,C    ,9,0.0,0.13807,3
 C  , CX ,2C ,C    ,9,180.0,1.26775,2
 C  , CX ,2C ,C    ,9,0.0,4.37646,1
 C  , CX ,2C ,3C   ,9,0.0,0.79496,4
 C  , CX ,2C ,3C   ,9,0.0,0.60250,3
 C  , CX ,2C ,3C   ,9,180.0,2.59408,2
 C  , CX ,2C ,3C   ,9,0.0,2.95390,1
 C  , CX ,2C ,2C   ,9,0.0,0.60668,4
 C  , CX ,2C ,2C   ,9,0.0,0.60250,3
 C  , CX ,2C ,2C   ,9,180.0,1.64431,2
 C  , CX ,2C ,2C   ,9,180.0,1.76146,1
 CC , NA ,P  ,OP   ,9,0.0,1.00416,3
 CB , C* ,2C ,HC   ,9,0.0,0.00000,2
 CA , C  ,OH ,HO   ,9,0.0,0.27196,4
 CA , C  ,OH ,HO   ,9,0.0,0.00000,3
 CA , C  ,OH ,HO   ,9,180.0,3.69447,2
 CA , C  ,OH ,HO   ,9,0.0,0.00000,1
 C8 , N2 ,CA ,N2   ,9,0.0,0.00000,4
 C8 , N2 ,CA ,N2   ,9,180.0,10.04160,2
 C8 , CX ,N  ,C    ,9,0.0,0.00000,4
 C8 , CX ,N  ,C    ,9,0.0,3.34720,3
 C8 , CX ,N  ,C    ,9,0.0,7.53120,2
 C8 , CX ,N  ,C    ,9,0.0,8.36800,1
 C8 , C8 ,N3 ,H    ,9,0.0,0.65084,3
 C8 , C8 ,N2 ,CA   ,9,0.0,0.00000,1
 C8 , C8 ,C8 ,N3   ,9,0.0,0.65084,3
 C8 , C8 ,C8 ,N2   ,9,0.0,0.65084,3
 C8 , C8 ,C8 ,HC   ,9,0.0,0.66944,3
 C8 , C8 ,C8 ,C8   ,9,0.0,0.75312,3
 C8 , C8 ,C8 ,C8   ,9,180.0,1.04600,2
 C8 , C8 ,C8 ,C8   ,9,180.0,0.83680,1
 C4 , C4 ,C  ,O    ,9,0.0,1.25520,3
 C4 , C4 ,C  ,O    ,9,180.0,9.10020,2
 Br , CT ,CT ,Br   ,9,0.0,0.00000,3
 Br , CT ,CT ,Br   ,9,180.0,0.00000,1
 X  , 2C ,2C ,X    ,9,0.0,0.65084,3
 X  , SH ,2C ,X    ,9,0.0,1.04600,3
 X  , S  ,2C ,X    ,9,0.0,1.39467,3
 X  , OS ,P  ,X    ,9,0.0,1.04600,3
 X  , OH ,P  ,X    ,9,0.0,1.04600,3
 X  , CX ,N  ,X    ,9,0.0,0.00000,2
 X  , CX ,N3 ,X    ,9,0.0,0.65084,3
 X  , CX ,3C ,X    ,9,0.0,0.65084,3
 X  , CX ,2C ,X    ,9,0.0,0.65084,3
 X  , CW ,NA ,X    ,9,180.0,6.27600,2
 X  , CV ,NB ,X    ,9,180.0,10.04160,2
 X  , CT ,S  ,X    ,9,0.0,1.39467,3
 X  , CT ,SH ,X    ,9,0.0,1.04600,3
 X  , CT ,OS ,X    ,9,0.0,1.60387,3
 X  , CT ,OH ,X    ,9,0.0,0.69733,3
 X  , CT ,N* ,X    ,9,0.0,0.00000,2
 X  , CT ,N  ,X    ,9,0.0,0.00000,2
 X  , CT ,NT ,X    ,9,0.0,1.25520,3
 X  , CT ,N3 ,X    ,9,0.0,0.65084,3
 X  , CT ,N2 ,X    ,9,0.0,0.00000,3
 X  , CT ,CZ ,X    ,9,0.0,0.00000,1
 X  , CT ,CY ,X    ,9,0.0,0.00000,1
 X  , CT ,CX ,X    ,9,0.0,0.65084,3
 X  , CT ,CT ,X    ,9,0.0,0.65084,3
 X  , CS ,OS ,X    ,9,180.0,4.39320,2
 X  , CS ,N* ,X    ,9,180.0,7.74040,2
 X  , CS ,CT ,X    ,9,0.0,0.00000,3
 X  , CS ,CS ,X    ,9,180.0,27.82360,2
 X  , CR ,NB ,X    ,9,180.0,20.92000,2
 X  , CR ,NA ,X    ,9,180.0,9.72780,2
 X  , CQ ,NC ,X    ,9,180.0,28.45120,2
 X  , CP ,N* ,X    ,9,180.0,7.11280,2
 X  , CP ,NB ,X    ,9,180.0,41.84000,2
 X  , C  ,O  ,X    ,9,180.0,11.71520,2
 X  , C  ,OS ,X    ,9,180.0,11.29680,2
 X  , C  ,OH ,X    ,9,180.0,9.62320,2
 X  , C  ,N* ,X    ,9,180.0,6.06680,2
 X  , C  ,N  ,X    ,9,180.0,10.46000,2
 X  , CN ,NA ,X    ,9,180.0,6.38060,2
 X  , C  ,NC ,X    ,9,180.0,16.73600,2
 X  , C  ,NA ,X    ,9,180.0,5.64840,2
 X  , CM ,OS ,X    ,9,180.0,4.39320,2
 X  , CM ,N* ,X    ,9,180.0,7.74040,2
 X  , CM ,CT ,X    ,9,0.0,0.00000,3
 X  , CM ,CM ,X    ,9,180.0,27.82360,2
 X  , CK ,N* ,X    ,9,180.0,7.11280,2
 X  , CK ,NB ,X    ,9,180.0,41.84000,2
 X  , CI ,OS ,X    ,9,0.0,1.60387,3
 X  , CI ,OH ,X    ,9,0.0,0.69733,3
 X  , CI ,CT ,X    ,9,0.0,0.65084,3
 X  , CD ,CT ,X    ,9,0.0,0.00000,2
 X  , CD ,CS ,X    ,9,180.0,27.82360,2
 X  , CD ,CM ,X    ,9,180.0,27.82360,2
 X  , CD ,CD ,X    ,9,180.0,4.18400,2
 X  , C  ,CX ,X    ,9,0.0,0.00000,2
 X  , C  ,C  ,X    ,9,180.0,15.16700,2
 X  , C* ,CW ,X    ,9,180.0,27.30060,2
 X  , C* ,CT ,X    ,9,0.0,0.00000,2
 X  , C  ,CT ,X    ,9,0.0,0.00000,2
 X  , C  ,CS ,X    ,9,180.0,9.10020,2
 X  , CC ,NB ,X    ,9,180.0,10.04160,2
 X  , CC ,NA ,X    ,9,180.0,5.85760,2
 X  , C  ,CM ,X    ,9,180.0,9.10020,2
 X  , CC ,CW ,X    ,9,180.0,22.48900,2
 X  , CC ,CV ,X    ,9,180.0,21.54760,2
 X  , CC ,CT ,X    ,9,0.0,0.00000,2
 X  , C* ,CB ,X    ,9,180.0,7.00820,2
 X  , C  ,CB ,X    ,9,180.0,12.55200,2
 X  , C  ,CA ,X    ,9,180.0,15.16700,2
 X  , C  ,C4 ,X    ,9,180.0,9.10020,2
 X  , CB ,N* ,X    ,9,180.0,6.90360,2
 X  , CB ,NC ,X    ,9,180.0,17.36360,2
 X  , CB ,NB ,X    ,9,180.0,10.66920,2
 X  , CB ,CN ,X    ,9,180.0,12.55200,2
 X  , CB ,CB ,X    ,9,180.0,22.80280,2
 X  , CA ,OH ,X    ,9,180.0,3.76560,2
 X  , CA ,NC ,X    ,9,180.0,20.08320,2
 X  , CA ,NA ,X    ,9,180.0,6.27600,2
 X  , CA ,N2 ,X    ,9,180.0,10.04160,2
 X  , CA ,CT ,X    ,9,0.0,0.00000,2
 X  , CA ,CS ,X    ,9,180.0,10.66920,2
 X  , CA ,CN ,X    ,9,180.0,15.16700,2
 X  , CA ,CM ,X    ,9,180.0,10.66920,2
 X  , CA ,CB ,X    ,9,180.0,14.64400,2
 X  , CA ,CA ,X    ,9,180.0,15.16700,2
 X  , CA ,C4 ,X    ,9,180.0,10.66920,2
 X  , CA ,2C ,X    ,9,0.0,0.00000,2
 X  , C8 ,N3 ,X    ,9,0.0,0.65084,3
 X  , C8 ,N2 ,X    ,9,0.0,0.00000,3
 X  , C8 ,CX ,X    ,9,0.0,0.65084,3
 X  , C8 ,C8 ,X    ,9,0.0,0.65084,3
 X  , C5 ,N* ,X    ,9,180.0,7.11280,2
 X  , C5 ,NB ,X    ,9,180.0,41.84000,2
 X  , C4 ,N* ,X    ,9,180.0,7.74040,2
 X  , C4 ,CT ,X    ,9,0.0,0.00000,3
 X  , C4 ,C4 ,X    ,9,180.0,27.82360,2
 X  , CE ,OS ,X    ,9,0.0,1.60387,3
 X  , CE ,OH ,X    ,9,0.0,0.69733,3
 X  , CE ,CT ,X    ,9,0.0,0.65084,3
 X  , C  ,C2 ,X    ,9,180.0,9.10020,2
 X  , C2 ,N* ,X    ,9,180.0,7.74040,2
 X  , C2 ,CT ,X    ,9,0.0,0.00000,3
 X  , C2 ,C2 ,X    ,9,180.0,27.82360,2
 X  , C1 ,N* ,X    ,9,180.0,7.11280,2
 X  , C1 ,NB ,X    ,9,180.0,41.84000,2
